dayOfWeek,period,startTime,endTime
1,1,09:15:00,10:45:00
2,1,09:15:00,10:45:00
3,1,09:15:00,10:45:00
4,1,09:15:00,10:45:00
5,1,09:15:00,10:45:00
1,2,10:55:00,12:25:00
2,2,10:55:00,12:25:00
3,2,10:55:00,12:25:00
4,2,10:55:00,12:25:00
5,2,10:55:00,12:25:00
1,3,13:20:00,14:50:00
2,3,13:20:00,14:50:00
3,3,13:20:00,14:50:00
4,3,13:20:00,14:50:00
5,3,13:20:00,14:50:00
1,4,15:00:00,16:30:00
2,4,15:00:00,16:30:00
3,4,15:00:00,16:30:00
4,4,15:00:00,16:30:00
5,4,15:00:00,16:30:00
1,5,16:40:00,17:20:00
2,5,16:40:00,17:20:00
3,5,16:40:00,17:20:00
4,5,16:40:00,17:20:00
5,5,16:40:00,17:20:00
1,6,18:20:00,19:50:00
2,6,18:20:00,19:50:00
3,6,18:20:00,19:50:00
4,6,18:20:00,19:50:00
5,6,18:20:00,19:50:00
